sequence_id,zone_id,window_id,actual_label,predicted_label,abnormal_probability,top_abnormal_drivers,top_normal_drivers,xai_explanation
SEQ_08,ZONE_A,5,NORMAL,NORMAL,0.009345,avg_bbox_area_ratio (+0.886); max_bbox_area_ratio (+0.203); avg_direction_change_deg (+0.112),speed_std_norm_s (-1.014); direction_consistency (-0.506); acceleration_std_norm_s2 (-0.357),Prediction is pushed toward NORMAL mainly by: speed_std_norm_s (-1.014); direction_consistency (-0.506); acceleration_std_norm_s2 (-0.357)
SEQ_08,ZONE_B,5,NORMAL,NORMAL,0.006943,avg_detection_confidence (+0.945); avg_bbox_area_ratio (+0.722); max_person_count_per_frame (+0.320),valid_motion_rows (-1.507); avg_person_count_per_frame (-1.042); speed_std_norm_s (-0.504),Prediction is pushed toward NORMAL mainly by: valid_motion_rows (-1.507); avg_person_count_per_frame (-1.042); speed_std_norm_s (-0.504)
SEQ_08,ZONE_A,6,NORMAL,NORMAL,0.006447,avg_bbox_area_ratio (+0.763); max_bbox_area_ratio (+0.299); max_speed_norm_s (+0.114),speed_std_norm_s (-0.889); avg_detection_confidence (-0.434); zone_presence_ratio (-0.346),Prediction is pushed toward NORMAL mainly by: speed_std_norm_s (-0.889); avg_detection_confidence (-0.434); zone_presence_ratio (-0.346)
SEQ_08,ZONE_B,6,NORMAL,NORMAL,0.005241,avg_bbox_area_ratio (+1.475); max_person_count_per_frame (+0.434); unique_person_count (+0.305),valid_motion_rows (-1.539); avg_person_count_per_frame (-1.060); speed_std_norm_s (-0.736),Prediction is pushed toward NORMAL mainly by: valid_motion_rows (-1.539); avg_person_count_per_frame (-1.060); speed_std_norm_s (-0.736)
SEQ_08,ZONE_A,7,NORMAL,NORMAL,0.047065,avg_bbox_area_ratio (+0.572); avg_detection_confidence (+0.303); max_bbox_area_ratio (+0.213),direction_consistency (-0.358); zone_presence_ratio (-0.346); movement_activity_ratio (-0.215),Prediction is pushed toward NORMAL mainly by: direction_consistency (-0.358); zone_presence_ratio (-0.346); movement_activity_ratio (-0.215)
SEQ_08,ZONE_B,7,NORMAL,NORMAL,0.007051,avg_bbox_area_ratio (+1.817); unique_person_count (+0.480); max_person_count_per_frame (+0.320),valid_motion_rows (-1.642); avg_person_count_per_frame (-1.147); direction_consistency (-0.600),Prediction is pushed toward NORMAL mainly by: valid_motion_rows (-1.642); avg_person_count_per_frame (-1.147); direction_consistency (-0.600)
SEQ_08,ZONE_C,7,NORMAL,ABNORMAL,0.870477,zone_presence_ratio (+2.278); avg_acceleration_norm_s2 (+2.090); direction_consistency (+1.988),avg_detection_confidence (-1.440); avg_bbox_area_ratio (-1.417); speed_std_norm_s (-0.890),Prediction is pushed toward ABNORMAL mainly by: zone_presence_ratio (+2.278); avg_acceleration_norm_s2 (+2.090); direction_consistency (+1.988)
SEQ_08,ZONE_A,9,ABNORMAL,ABNORMAL,0.998809,speed_std_norm_s (+3.006); avg_detection_confidence (+2.324); zone_presence_ratio (+1.373),avg_bbox_area_ratio (-1.627); avg_acceleration_norm_s2 (-0.566); max_person_count_per_frame (-0.250),Prediction is pushed toward ABNORMAL mainly by: speed_std_norm_s (+3.006); avg_detection_confidence (+2.324); zone_presence_ratio (+1.373)
SEQ_08,ZONE_B,9,ABNORMAL,ABNORMAL,0.982097,avg_bbox_area_ratio (+4.863); avg_detection_confidence (+1.637); max_bbox_area_ratio (+0.899),speed_std_norm_s (-0.622); zone_presence_ratio (-0.346); acceleration_std_norm_s2 (-0.237),Prediction is pushed toward ABNORMAL mainly by: avg_bbox_area_ratio (+4.863); avg_detection_confidence (+1.637); max_bbox_area_ratio (+0.899)
SEQ_08,ZONE_B,10,ABNORMAL,ABNORMAL,0.962137,avg_bbox_area_ratio (+4.655); direction_consistency (+1.008); valid_motion_rows (+0.893),speed_std_norm_s (-0.962); unique_person_count (-0.393); max_person_count_per_frame (-0.365),Prediction is pushed toward ABNORMAL mainly by: avg_bbox_area_ratio (+4.655); direction_consistency (+1.008); valid_motion_rows (+0.893)
SEQ_08,ZONE_B,11,ABNORMAL,ABNORMAL,0.932027,avg_bbox_area_ratio (+3.306); zone_presence_ratio (+2.097); valid_motion_rows (+1.322),speed_std_norm_s (-0.911); avg_detection_confidence (-0.769); unique_person_count (-0.393),Prediction is pushed toward ABNORMAL mainly by: avg_bbox_area_ratio (+3.306); zone_presence_ratio (+2.097); valid_motion_rows (+1.322)
SEQ_11,ZONE_A,0,NORMAL,NORMAL,0.015154,speed_std_norm_s (+0.263); acceleration_std_norm_s2 (+0.168); avg_person_count_per_frame (+0.043),zone_presence_ratio (-0.346); avg_bbox_area_ratio (-0.337); avg_detection_confidence (-0.283),Prediction is pushed toward NORMAL mainly by: zone_presence_ratio (-0.346); avg_bbox_area_ratio (-0.337); avg_detection_confidence (-0.283)
SEQ_11,ZONE_B,0,NORMAL,NORMAL,0.002418,max_person_count_per_frame (+0.320); unique_person_count (+0.305); avg_detection_confidence (+0.219),valid_motion_rows (-0.975); direction_consistency (-0.749); avg_person_count_per_frame (-0.665),Prediction is pushed toward NORMAL mainly by: valid_motion_rows (-0.975); direction_consistency (-0.749); avg_person_count_per_frame (-0.665)
SEQ_11,ZONE_C,0,NORMAL,NORMAL,0.045669,direction_consistency (+0.782); speed_std_norm_s (+0.716); avg_detection_confidence (+0.313),avg_bbox_area_ratio (-1.243); max_bbox_area_ratio (-0.713); zone_presence_ratio (-0.346),Prediction is pushed toward NORMAL mainly by: avg_bbox_area_ratio (-1.243); max_bbox_area_ratio (-0.713); zone_presence_ratio (-0.346)
SEQ_11,ZONE_A,1,NORMAL,NORMAL,0.155745,avg_detection_confidence (+1.553); valid_motion_rows (+0.384); direction_consistency (+0.348),avg_bbox_area_ratio (-0.461); zone_presence_ratio (-0.346); speed_std_norm_s (-0.270),Prediction is pushed toward NORMAL mainly by: avg_bbox_area_ratio (-0.461); zone_presence_ratio (-0.346); speed_std_norm_s (-0.270)
SEQ_11,ZONE_B,1,NORMAL,NORMAL,0.000458,unique_person_count (+0.741); max_person_count_per_frame (+0.548); speed_std_norm_s (+0.191),valid_motion_rows (-1.912); avg_person_count_per_frame (-1.379); direction_consistency (-0.759),Prediction is pushed toward NORMAL mainly by: valid_motion_rows (-1.912); avg_person_count_per_frame (-1.379); direction_consistency (-0.759)
SEQ_11,ZONE_C,1,NORMAL,NORMAL,0.052447,direction_consistency (+0.645); avg_person_count_per_frame (+0.211); valid_motion_rows (+0.209),avg_detection_confidence (-0.369); zone_presence_ratio (-0.346); avg_bbox_area_ratio (-0.201),Prediction is pushed toward NORMAL mainly by: avg_detection_confidence (-0.369); zone_presence_ratio (-0.346); avg_bbox_area_ratio (-0.201)
SEQ_11,ZONE_A,2,NORMAL,NORMAL,0.120917,avg_detection_confidence (+2.089); speed_std_norm_s (+1.161); direction_consistency (+0.803),avg_bbox_area_ratio (-3.049); zone_presence_ratio (-0.346); max_bbox_area_ratio (-0.317),Prediction is pushed toward NORMAL mainly by: avg_bbox_area_ratio (-3.049); zone_presence_ratio (-0.346); max_bbox_area_ratio (-0.317)
SEQ_11,ZONE_B,2,NORMAL,NORMAL,0.002351,unique_person_count (+0.916); max_person_count_per_frame (+0.662); speed_std_norm_s (+0.605),valid_motion_rows (-1.888); avg_person_count_per_frame (-1.350); avg_bbox_area_ratio (-0.636),Prediction is pushed toward NORMAL mainly by: valid_motion_rows (-1.888); avg_person_count_per_frame (-1.350); avg_bbox_area_ratio (-0.636)
SEQ_11,ZONE_C,2,NORMAL,NORMAL,0.191939,avg_detection_confidence (+1.486); valid_motion_rows (+0.686); avg_person_count_per_frame (+0.474),avg_bbox_area_ratio (-1.319); direction_consistency (-0.346); max_person_count_per_frame (-0.136),Prediction is pushed toward NORMAL mainly by: avg_bbox_area_ratio (-1.319); direction_consistency (-0.346); max_person_count_per_frame (-0.136)
SEQ_11,ZONE_A,3,NORMAL,NORMAL,0.001626,max_person_count_per_frame (+0.092); max_speed_norm_s (+0.049); unique_person_count (+0.043),avg_bbox_area_ratio (-1.382); valid_motion_rows (-0.474); direction_consistency (-0.397),Prediction is pushed toward NORMAL mainly by: avg_bbox_area_ratio (-1.382); valid_motion_rows (-0.474); direction_consistency (-0.397)
SEQ_11,ZONE_B,3,NORMAL,NORMAL,0.002312,speed_std_norm_s (+1.177); unique_person_count (+0.829); max_person_count_per_frame (+0.548),valid_motion_rows (-1.523); avg_bbox_area_ratio (-1.334); avg_person_count_per_frame (-1.100),Prediction is pushed toward NORMAL mainly by: valid_motion_rows (-1.523); avg_bbox_area_ratio (-1.334); avg_person_count_per_frame (-1.100)
SEQ_11,ZONE_C,3,NORMAL,NORMAL,0.049049,avg_detection_confidence (+1.845); valid_motion_rows (+0.678); avg_person_count_per_frame (+0.571),avg_bbox_area_ratio (-1.245); speed_std_norm_s (-0.379); zone_presence_ratio (-0.346),Prediction is pushed toward NORMAL mainly by: avg_bbox_area_ratio (-1.245); speed_std_norm_s (-0.379); zone_presence_ratio (-0.346)
SEQ_11,ZONE_A,4,NORMAL,NORMAL,0.014673,speed_std_norm_s (+0.888); acceleration_std_norm_s2 (+0.307); avg_acceleration_norm_s2 (+0.236),avg_detection_confidence (-1.200); max_bbox_area_ratio (-0.711); direction_consistency (-0.541),Prediction is pushed toward NORMAL mainly by: avg_detection_confidence (-1.200); max_bbox_area_ratio (-0.711); direction_consistency (-0.541)
SEQ_11,ZONE_B,4,NORMAL,NORMAL,0.000603,speed_std_norm_s (+0.930); unique_person_count (+0.741); max_person_count_per_frame (+0.548),valid_motion_rows (-1.650); max_bbox_area_ratio (-1.371); avg_person_count_per_frame (-1.187),Prediction is pushed toward NORMAL mainly by: valid_motion_rows (-1.650); max_bbox_area_ratio (-1.371); avg_person_count_per_frame (-1.187)
SEQ_11,ZONE_C,4,NORMAL,NORMAL,0.041969,speed_std_norm_s (+0.653); direction_consistency (+0.393); avg_person_count_per_frame (+0.298),avg_bbox_area_ratio (-0.954); zone_presence_ratio (-0.346); max_bbox_area_ratio (-0.299),Prediction is pushed toward NORMAL mainly by: avg_bbox_area_ratio (-0.954); zone_presence_ratio (-0.346); max_bbox_area_ratio (-0.299)
SEQ_11,ZONE_A,5,NORMAL,NORMAL,0.01364,unique_person_count (+0.218); acceleration_std_norm_s2 (+0.217); speed_std_norm_s (+0.209),avg_bbox_area_ratio (-0.904); avg_detection_confidence (-0.793); zone_presence_ratio (-0.346),Prediction is pushed toward NORMAL mainly by: avg_bbox_area_ratio (-0.904); avg_detection_confidence (-0.793); zone_presence_ratio (-0.346)
SEQ_11,ZONE_B,5,NORMAL,NORMAL,0.00596,avg_detection_confidence (+0.666); speed_std_norm_s (+0.559); unique_person_count (+0.392),avg_bbox_area_ratio (-1.177); max_bbox_area_ratio (-0.925); valid_motion_rows (-0.816),Prediction is pushed toward NORMAL mainly by: avg_bbox_area_ratio (-1.177); max_bbox_area_ratio (-0.925); valid_motion_rows (-0.816)
SEQ_11,ZONE_C,5,NORMAL,NORMAL,0.015108,speed_std_norm_s (+0.573); acceleration_std_norm_s2 (+0.287); avg_detection_confidence (+0.254),avg_bbox_area_ratio (-1.933); max_bbox_area_ratio (-0.408); zone_presence_ratio (-0.346),Prediction is pushed toward NORMAL mainly by: avg_bbox_area_ratio (-1.933); max_bbox_area_ratio (-0.408); zone_presence_ratio (-0.346)
SEQ_11,ZONE_A,6,NORMAL,NORMAL,0.001014,valid_motion_rows (+0.408); avg_person_count_per_frame (+0.357); max_speed_norm_s (+0.069),avg_bbox_area_ratio (-2.370); direction_consistency (-0.635); avg_detection_confidence (-0.628),Prediction is pushed toward NORMAL mainly by: avg_bbox_area_ratio (-2.370); direction_consistency (-0.635); avg_detection_confidence (-0.628)
SEQ_11,ZONE_B,6,NORMAL,NORMAL,0.002972,avg_detection_confidence (+0.823); max_person_count_per_frame (+0.206); unique_person_count (+0.130),valid_motion_rows (-1.134); avg_bbox_area_ratio (-0.803); avg_person_count_per_frame (-0.758),Prediction is pushed toward NORMAL mainly by: valid_motion_rows (-1.134); avg_bbox_area_ratio (-0.803); avg_person_count_per_frame (-0.758)
SEQ_11,ZONE_C,6,NORMAL,NORMAL,0.004011,valid_motion_rows (+0.328); avg_person_count_per_frame (+0.304); direction_consistency (+0.253),avg_detection_confidence (-1.060); speed_std_norm_s (-0.668); avg_bbox_area_ratio (-0.658),Prediction is pushed toward NORMAL mainly by: avg_detection_confidence (-1.060); speed_std_norm_s (-0.668); avg_bbox_area_ratio (-0.658)
SEQ_11,ZONE_A,7,NORMAL,NORMAL,0.029672,direction_consistency (+0.580); avg_detection_confidence (+0.347); avg_person_count_per_frame (+0.223),avg_bbox_area_ratio (-0.814); zone_presence_ratio (-0.346); speed_std_norm_s (-0.195),Prediction is pushed toward NORMAL mainly by: avg_bbox_area_ratio (-0.814); zone_presence_ratio (-0.346); speed_std_norm_s (-0.195)
SEQ_11,ZONE_B,7,NORMAL,NORMAL,0.004134,speed_std_norm_s (+1.280); unique_person_count (+0.654); max_person_count_per_frame (+0.548),valid_motion_rows (-1.547); avg_person_count_per_frame (-1.135); avg_detection_confidence (-0.709),Prediction is pushed toward NORMAL mainly by: valid_motion_rows (-1.547); avg_person_count_per_frame (-1.135); avg_detection_confidence (-0.709)
SEQ_11,ZONE_C,7,NORMAL,NORMAL,0.001719,avg_person_count_per_frame (+0.223); valid_motion_rows (+0.201); max_speed_norm_s (+0.104),direction_consistency (-0.999); speed_std_norm_s (-0.709); avg_bbox_area_ratio (-0.628),Prediction is pushed toward NORMAL mainly by: direction_consistency (-0.999); speed_std_norm_s (-0.709); avg_bbox_area_ratio (-0.628)
SEQ_11,ZONE_A,8,NORMAL,NORMAL,0.384913,avg_detection_confidence (+1.684); valid_motion_rows (+0.734); avg_person_count_per_frame (+0.618),zone_presence_ratio (-0.346); max_person_count_per_frame (-0.250); movement_activity_ratio (-0.250),Prediction is pushed toward NORMAL mainly by: zone_presence_ratio (-0.346); max_person_count_per_frame (-0.250); movement_activity_ratio (-0.250)
SEQ_11,ZONE_B,8,NORMAL,NORMAL,0.001988,speed_std_norm_s (+1.030); unique_person_count (+0.654); max_person_count_per_frame (+0.548),valid_motion_rows (-1.896); avg_person_count_per_frame (-1.385); avg_detection_confidence (-0.639),Prediction is pushed toward NORMAL mainly by: valid_motion_rows (-1.896); avg_person_count_per_frame (-1.385); avg_detection_confidence (-0.639)
SEQ_11,ZONE_C,8,NORMAL,NORMAL,0.00309,avg_detection_confidence (+0.271); max_bbox_area_ratio (+0.215); max_speed_norm_s (+0.080),avg_bbox_area_ratio (-0.956); speed_std_norm_s (-0.621); direction_consistency (-0.458),Prediction is pushed toward NORMAL mainly by: avg_bbox_area_ratio (-0.956); speed_std_norm_s (-0.621); direction_consistency (-0.458)
SEQ_11,ZONE_A,9,NORMAL,NORMAL,0.106164,avg_detection_confidence (+1.951); valid_motion_rows (+0.201); avg_person_count_per_frame (+0.200),avg_bbox_area_ratio (-0.985); zone_presence_ratio (-0.346); max_person_count_per_frame (-0.136),Prediction is pushed toward NORMAL mainly by: avg_bbox_area_ratio (-0.985); zone_presence_ratio (-0.346); max_person_count_per_frame (-0.136)
SEQ_11,ZONE_B,9,NORMAL,NORMAL,0.006341,speed_std_norm_s (+0.941); avg_detection_confidence (+0.555); max_person_count_per_frame (+0.434),valid_motion_rows (-0.998); max_bbox_area_ratio (-0.869); direction_consistency (-0.858),Prediction is pushed toward NORMAL mainly by: valid_motion_rows (-0.998); max_bbox_area_ratio (-0.869); direction_consistency (-0.858)
SEQ_11,ZONE_C,9,NORMAL,NORMAL,0.003264,unique_person_count (+0.218); max_person_count_per_frame (+0.092); max_speed_norm_s (+0.024),avg_bbox_area_ratio (-1.023); avg_detection_confidence (-0.554); zone_presence_ratio (-0.346),Prediction is pushed toward NORMAL mainly by: avg_bbox_area_ratio (-1.023); avg_detection_confidence (-0.554); zone_presence_ratio (-0.346)
SEQ_11,ZONE_A,10,NORMAL,NORMAL,0.327449,avg_detection_confidence (+3.875); direction_consistency (+1.070); valid_motion_rows (+0.289),avg_bbox_area_ratio (-1.766); zone_presence_ratio (-0.346); speed_std_norm_s (-0.265),Prediction is pushed toward NORMAL mainly by: avg_bbox_area_ratio (-1.766); zone_presence_ratio (-0.346); speed_std_norm_s (-0.265)
SEQ_11,ZONE_B,10,NORMAL,NORMAL,0.000952,max_person_count_per_frame (+0.548); unique_person_count (+0.480); avg_detection_confidence (+0.118),valid_motion_rows (-1.459); avg_person_count_per_frame (-1.065); direction_consistency (-0.814),Prediction is pushed toward NORMAL mainly by: valid_motion_rows (-1.459); avg_person_count_per_frame (-1.065); direction_consistency (-0.814)
SEQ_11,ZONE_C,10,NORMAL,NORMAL,0.002326,avg_detection_confidence (+0.767); max_person_count_per_frame (+0.092); max_speed_norm_s (+0.070),avg_bbox_area_ratio (-1.710); valid_motion_rows (-0.538); speed_std_norm_s (-0.446),Prediction is pushed toward NORMAL mainly by: avg_bbox_area_ratio (-1.710); valid_motion_rows (-0.538); speed_std_norm_s (-0.446)
SEQ_11,ZONE_A,11,NORMAL,NORMAL,0.010664,valid_motion_rows (+0.575); avg_detection_confidence (+0.491); avg_person_count_per_frame (+0.490),avg_bbox_area_ratio (-0.980); speed_std_norm_s (-0.660); direction_consistency (-0.435),Prediction is pushed toward NORMAL mainly by: avg_bbox_area_ratio (-0.980); speed_std_norm_s (-0.660); direction_consistency (-0.435)
SEQ_11,ZONE_B,11,NORMAL,NORMAL,0.005462,avg_detection_confidence (+0.767); unique_person_count (+0.480); speed_std_norm_s (+0.413),valid_motion_rows (-1.570); avg_person_count_per_frame (-1.083); avg_bbox_area_ratio (-0.808),Prediction is pushed toward NORMAL mainly by: valid_motion_rows (-1.570); avg_person_count_per_frame (-1.083); avg_bbox_area_ratio (-0.808)
SEQ_11,ZONE_C,11,NORMAL,NORMAL,0.005335,direction_consistency (+0.887); avg_detection_confidence (+0.305); max_person_count_per_frame (+0.206),avg_bbox_area_ratio (-1.801); max_bbox_area_ratio (-0.743); valid_motion_rows (-0.538),Prediction is pushed toward NORMAL mainly by: avg_bbox_area_ratio (-1.801); max_bbox_area_ratio (-0.743); valid_motion_rows (-0.538)
SEQ_11,ZONE_B,13,ABNORMAL,ABNORMAL,0.997551,avg_bbox_area_ratio (+6.311); zone_presence_ratio (+2.187); direction_consistency (+1.802),avg_detection_confidence (-3.858); speed_std_norm_s (-0.953); unique_person_count (-0.393),Prediction is pushed toward ABNORMAL mainly by: avg_bbox_area_ratio (+6.311); zone_presence_ratio (+2.187); direction_consistency (+1.802)
SEQ_11,ZONE_C,13,ABNORMAL,ABNORMAL,0.998892,avg_bbox_area_ratio (+3.833); zone_presence_ratio (+1.870); movement_activity_ratio (+1.291),avg_acceleration_norm_s2 (-0.183); avg_detection_confidence (-0.180); max_person_count_per_frame (-0.136),Prediction is pushed toward ABNORMAL mainly by: avg_bbox_area_ratio (+3.833); zone_presence_ratio (+1.870); movement_activity_ratio (+1.291)
